"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.643495778E2,6.494438869E1,2.539523877E1,-4.513841307E0,1.309999943E0,9.269999695E1,2.500000000E0,2.000000000E0
1.653608503E2,6.494438970E1,2.539526559E1,-4.513839733E0,1.269999981E0,9.509999847E1,2.500000000E0,2.000000000E0
1.663365821E2,6.494438777E1,2.539529091E1,-4.513840707E0,1.259999990E0,9.380000305E1,2.500000000E0,2.000000000E0
1.673274985E2,6.494438325E1,2.539531915E1,-3.513843826E0,1.319999933E0,9.909999847E1,2.500000000E0,2.000000000E0
1.683518283E2,6.494437998E1,2.539533961E1,-4.513846077E0,1.299999952E0,9.709999847E1,2.500000000E0,2.000000000E0
1.693382158E2,6.494437612E1,2.539536978E1,-4.513848571E0,1.319999933E0,9.909999847E1,2.500000000E0,2.000000000E0
1.703396730E2,6.494437160E1,2.539539744E1,-4.513851705E0,1.279999971E0,1.031999969E2,2.500000000E0,2.000000000E0
1.712901829E2,6.494436774E1,2.539542820E1,-4.513854184E0,1.319999933E0,1.025000000E2,2.500000000E0,2.000000000E0
1.723086990E2,6.494436367E1,2.539545092E1,-3.513857056E0,1.209999919E0,1.171999969E2,2.500000000E0,2.000000000E0
1.733469346E2,6.494435869E1,2.539547129E1,-3.513860779E0,1.289999962E0,1.204000015E2,2.500000000E0,2.000000000E0
1.742819326E2,6.494434909E1,2.539549434E1,-3.513868374E0,1.279999971E0,1.225000000E2,2.500000000E0,2.000000000E0
1.753208039E2,6.494434494E1,2.539552434E1,-3.513871125E0,1.370000005E0,1.231999969E2,2.500000000E0,2.000000000E0
1.763414337E2,6.494433865E1,2.539554278E1,-3.513876011E0,1.319999933E0,1.264000015E2,2.500000000E0,2.000000000E0
1.773321474E2,6.494433367E1,2.539555678E1,-2.513879904E0,1.279999971E0,1.311000061E2,3.000000000E0,2.000000000E0
1.782743775E2,6.494432583E1,2.539558243E1,-2.513885925E0,1.350000024E0,1.311000061E2,2.500000000E0,2.000000000E0
1.792938268E2,6.494432176E1,2.539560397E1,-1.513888830E0,1.279999971E0,1.301000061E2,2.500000000E0,2.000000000E0
1.803310188E2,6.494431313E1,2.539562610E1,-1.513895626E0,1.329999924E0,1.305000000E2,2.500000000E0,2.000000000E0
1.813044164E2,6.494430525E1,2.539565443E1,-2.513901612E0,1.389999986E0,1.306999969E2,2.500000000E0,2.000000000E0
1.823488265E2,6.494429645E1,2.539567966E1,-1.513908470E0,1.350000024E0,1.281000061E2,2.500000000E0,2.000000000E0
1.833502049E2,6.494428895E1,2.539570405E1,-1.513914239E0,1.259999990E0,1.311999969E2,2.500000000E0,2.000000000E0
1.843443059E2,6.494427793E1,2.539572367E1,-1.513923147E0,1.350000024E0,1.301000061E2,2.500000000E0,2.000000000E0
1.853234201E2,6.494426883E1,2.539575024E1,-1.513930221E0,1.399999976E0,1.286999969E2,2.500000000E0,2.000000000E0
1.862870603E2,6.494426330E1,2.539577320E1,-1.513934343E0,1.350000024E0,1.276999969E2,2.500000000E0,2.000000000E0
1.873356183E2,6.494425232E1,2.539579550E1,-2.513943144E0,1.279999971E0,1.243000031E2,2.500000000E0,2.000000000E0
1.883365538E2,6.494425157E1,2.539581939E1,-2.513943155E0,1.269999981E0,9.490000153E1,2.500000000E0,2.000000000E0
1.893400189E2,6.494425023E1,2.539584453E1,-1.513943635E0,1.179999948E0,9.300000000E1,2.500000000E0,2.000000000E0
1.903429380E2,6.494424436E1,2.539585945E1,-2.513948259E0,1.189999938E0,1.231999969E2,2.500000000E0,2.000000000E0
1.913259699E2,6.494423765E1,2.539587932E1,-2.513953468E0,1.299999952E0,1.336000061E2,2.500000000E0,2.000000000E0
1.923217150E2,6.494423103E1,2.539591041E1,-2.513958308E0,1.250000000E0,1.405000000E2,2.500000000E0,2.000000000E0
1.933290110E2,6.494422127E1,2.539592550E1,-2.513966262E0,1.250000000E0,1.451999969E2,2.500000000E0,2.000000000E0
1.943409978E2,6.494421305E1,2.539594168E1,-2.513972860E0,1.209999919E0,1.453000031E2,2.500000000E0,2.000000000E0
1.953306165E2,6.494420341E1,2.539597780E1,-2.513980149E0,1.299999952E0,1.423000031E2,2.500000000E0,2.000000000E0
1.963341757E2,6.494419226E1,2.539599960E1,-2.513989109E0,1.339999914E0,1.385000000E2,2.500000000E0,2.000000000E0
1.973167432E2,6.494418271E1,2.539601737E1,-1.513996814E0,1.259999990E0,1.365000000E2,2.500000000E0,2.000000000E0
1.983404366E2,6.494417521E1,2.539603673E1,-1.514002719E0,1.269999981E0,1.336999969E2,2.500000000E0,2.000000000E0
1.993390354E2,6.494416523E1,2.539605433E1,-1.514010787E0,1.389999986E0,1.283999939E2,2.500000000E0,2.000000000E0
2.003396000E2,6.494415995E1,2.539607654E1,-5.140147170E-1,1.360000014E0,1.255999985E2,2.500000000E0,2.000000000E0
2.013275483E2,6.494415023E1,2.539610378E1,-1.514022315E0,1.309999943E0,1.270999985E2,2.500000000E0,2.000000000E0
2.022994582E2,6.494414130E1,2.539612977E1,-1.514029265E0,1.360000014E0,1.283000031E2,2.500000000E0,2.000000000E0
2.033423721E2,6.494413409E1,2.539615349E1,-1.514034805E0,1.289999962E0,1.316000061E2,2.500000000E0,2.000000000E0
2.043383752E2,6.494412592E1,2.539617880E1,-1.514041128E0,1.309999943E0,1.351000061E2,2.500000000E0,2.000000000E0
2.053298810E2,6.494411825E1,2.539620034E1,-1.514047120E0,1.399999976E0,1.326999969E2,2.500000000E0,2.000000000E0
2.063309742E2,6.494411117E1,2.539622733E1,-5.140524668E-1,1.399999976E0,1.311999969E2,2.500000000E0,2.000000000E0
2.072703260E2,6.494410560E1,2.539624988E1,-5.140566399E-1,1.409999967E0,1.275999985E2,2.500000000E0,2.000000000E0
2.083331257E2,6.494409805E1,2.539625860E1,-5.140628648E-1,1.329999924E0,1.310000000E2,2.500000000E0,2.000000000E0
2.093212440E2,6.494409185E1,2.539627771E1,-5.140676672E-1,1.329999924E0,1.300000000E2,2.500000000E0,2.000000000E0
2.103419806E2,6.494408477E1,2.539630461E1,-5.140730166E-1,1.250000000E0,1.301999969E2,2.500000000E0,2.000000000E0
2.113397651E2,6.494407731E1,2.539632071E1,-1.514078975E0,1.299999952E0,1.308000031E2,3.000000000E0,3.000000000E0
2.123135834E2,6.494407462E1,2.539634133E1,-5.140807252E-1,1.289999962E0,1.203000031E2,2.500000000E0,2.000000000E0
2.132686371E2,6.494407131E1,2.539636714E1,-1.514082876E0,1.090000033E0,1.224000015E2,2.500000000E0,2.000000000E0
2.143199425E2,6.494406654E1,2.539638324E1,-5.140865393E-1,1.279999971E0,1.243000031E2,2.500000000E0,2.000000000E0
2.153231988E2,6.494406084E1,2.539640260E1,-1.514090905E0,1.019999981E0,1.193000031E2,2.500000000E0,2.000000000E0
2.163385544E2,6.494405635E1,2.539643277E1,-2.514093946E0,1.169999957E0,1.253000031E2,3.000000000E0,3.000000000E0
2.173186960E2,6.494404776E1,2.539644526E1,-1.514100969E0,1.339999914E0,1.285000000E2,3.000000000E0,3.000000000E0
2.183054107E2,6.494403854E1,2.539645649E1,-2.514108563E0,1.220000029E0,1.291000061E2,3.000000000E0,3.000000000E0
2.193316922E2,6.494403326E1,2.539648063E1,-2.514112445E0,1.350000024E0,1.308000031E2,3.000000000E0,3.000000000E0
2.203202322E2,6.494402425E1,2.539649270E1,-2.514119838E0,1.230000019E0,1.291000061E2,3.000000000E0,3.000000000E0
2.213456862E2,6.494401595E1,2.539650746E1,-1.514126551E0,1.409999967E0,1.336000061E2,3.000000000E0,3.000000000E0
2.222594695E2,6.494400459E1,2.539652422E1,-1.514135829E0,1.329999924E0,1.353000031E2,2.500000000E0,2.000000000E0
2.232950510E2,6.494399738E1,2.539654090E1,-1.514141558E0,1.319999933E0,1.353000031E2,3.000000000E0,3.000000000E0
2.242644828E2,6.494399139E1,2.539655750E1,-2.514146250E0,1.230000019E0,1.325000000E2,3.000000000E0,3.000000000E0
2.252882104E2,6.494398485E1,2.539657786E1,-1.514151309E0,1.269999981E0,1.288000031E2,2.500000000E0,2.000000000E0
2.263306905E2,6.494397945E1,2.539659195E1,-1.514155564E0,1.199999928E0,1.343999939E2,2.500000000E0,2.000000000E0
2.273210508E2,6.494397211E1,2.539662162E1,-1.514161059E0,1.079999924E0,1.298999939E2,2.500000000E0,2.000000000E0
2.283087455E2,6.494396884E1,2.539663788E1,-1.514163428E0,9.699999690E-1,1.271999969E2,2.500000000E0,2.000000000E0
2.293382414E2,6.494396465E1,2.539665850E1,-2.514166472E0,1.009999990E0,1.238000031E2,3.000000000E0,3.000000000E0
2.303314129E2,6.494396076E1,2.539668038E1,-2.514169231E0,1.159999967E0,1.225999985E2,3.000000000E0,3.000000000E0
2.313313743E2,6.494395355E1,2.539670913E1,-2.514174644E0,1.360000014E0,1.239000015E2,2.500000000E0,3.000000000E0
2.323480073E2,6.494394575E1,2.539672539E1,-2.514180888E0,1.240000010E0,1.306000061E2,2.500000000E0,3.000000000E0
2.333196589E2,6.494393477E1,2.539674810E1,-2.514189688E0,1.329999924E0,1.328999939E2,2.500000000E0,2.000000000E0
2.342897006E2,6.494392358E1,2.539677107E1,-1.514198662E0,1.169999957E0,1.356000061E2,2.500000000E0,2.000000000E0
2.353148338E2,6.494391575E1,2.539679571E1,-1.514204722E0,1.469999909E0,1.331999969E2,2.500000000E0,2.000000000E0
2.363278228E2,6.494390414E1,2.539682639E1,-1.514213852E0,1.469999909E0,1.323999939E2,2.500000000E0,2.000000000E0
2.373259278E2,6.494389789E1,2.539684248E1,-1.514218774E0,1.110000014E0,1.351999969E2,2.500000000E0,2.000000000E0
2.383239808E2,6.494388737E1,2.539685673E1,-1.514227404E0,1.159999967E0,1.306999969E2,2.500000000E0,2.000000000E0
2.393150583E2,6.494388033E1,2.539687861E1,-1.514232856E0,1.329999924E0,1.316999969E2,2.500000000E0,2.000000000E0
2.403207504E2,6.494387052E1,2.539690711E1,-5.142405018E-1,1.439999938E0,1.300000000E2,2.500000000E0,2.000000000E0
2.413277299E2,6.494386445E1,2.539693418E1,-1.514244992E0,1.250000000E0,1.326000061E2,2.500000000E0,2.000000000E0
2.423366222E2,6.494385934E1,2.539695404E1,-1.514248847E0,1.250000000E0,1.311000061E2,2.500000000E0,2.000000000E0
2.433222384E2,6.494385188E1,2.539698204E1,-1.514254497E0,1.319999933E0,1.305000000E2,2.500000000E0,2.000000000E0
2.443251835E2,6.494384601E1,2.539701280E1,-1.514258711E0,1.230000019E0,1.173000031E2,2.500000000E0,2.000000000E0
2.452910466E2,6.494384517E1,2.539703334E1,-1.514258889E0,8.199999928E-1,1.048000031E2,2.500000000E0,2.000000000E0
2.462923363E2,6.494383926E1,2.539704633E1,-5.142636066E-1,1.230000019E0,1.431000061E2,2.500000000E0,2.000000000E0
2.473295581E2,6.494383272E1,2.539706871E1,-5.142686160E-1,1.579999924E0,1.338999939E2,3.000000000E0,3.000000000E0
2.483192912E2,6.494382577E1,2.539709670E1,-5.142738367E-1,1.429999948E0,1.280000000E2,3.000000000E0,3.000000000E0
2.492974882E2,6.494381751E1,2.539713149E1,-5.142799916E-1,1.509999990E0,1.301000061E2,3.000000000E0,3.000000000E0
2.503477696E2,6.494380695E1,2.539716158E1,-1.514288244E0,1.449999928E0,1.326000061E2,3.000000000E0,3.000000000E0
2.513110952E2,6.494380347E1,2.539718840E1,-1.514290518E0,1.409999967E0,1.293000031E2,3.000000000E0,3.000000000E0
2.523313999E2,6.494379484E1,2.539721137E1,-1.514297307E0,1.389999986E0,1.281999969E2,3.000000000E0,3.000000000E0
2.533369408E2,6.494379073E1,2.539723727E1,-1.514300144E0,1.240000010E0,1.373999939E2,3.000000000E0,3.000000000E0
2.542984443E2,6.494378176E1,2.539725973E1,-1.514307234E0,1.459999919E0,1.331000061E2,3.000000000E0,3.000000000E0
2.553189454E2,6.494377317E1,2.539727817E1,-2.514314107E0,7.299999595E-1,1.260999985E2,3.000000000E0,3.000000000E0
2.563008089E2,6.494376500E1,2.539730432E1,-1.514320419E0,1.350000024E0,1.310000000E2,2.500000000E0,2.000000000E0
2.573244652E2,6.494375871E1,2.539732084E1,-1.514325369E0,1.019999981E0,1.431000061E2,3.000000000E0,3.000000000E0
2.583313926E2,6.494375029E1,2.539734389E1,-1.514331978E0,1.519999981E0,1.286000061E2,2.500000000E0,2.000000000E0
2.593174239E2,6.494374073E1,2.539736853E1,-5.143395142E-1,1.269999981E0,1.286999969E2,2.500000000E0,2.000000000E0
2.603319189E2,6.494373373E1,2.539739057E1,-5.143449297E-1,1.389999986E0,1.291999969E2,2.500000000E0,2.000000000E0
2.613091978E2,6.494372154E1,2.539740876E1,-5.143548974E-1,1.289999962E0,1.333999939E2,2.500000000E0,2.000000000E0
2.623033538E2,6.494370955E1,2.539743290E1,4.856354703E-1,1.299999952E0,1.321999969E2,3.000000000E0,3.000000000E0
2.633213673E2,6.494370339E1,2.539745344E1,-5.143692676E-1,1.399999976E0,1.301999969E2,2.500000000E0,2.000000000E0
2.643347348E2,6.494369664E1,2.539748596E1,-5.143741940E-1,1.519999981E0,1.238000031E2,2.500000000E0,2.000000000E0
2.653317038E2,6.494368822E1,2.539750700E1,-5.143808574E-1,1.240000010E0,1.265000000E2,2.500000000E0,2.000000000E0
2.663273028E2,6.494367795E1,2.539752284E1,-5.143892367E-1,1.360000014E0,1.246999969E2,3.000000000E0,2.000000000E0
2.673143485E2,6.494366672E1,2.539755276E1,-1.514398073E0,1.360000014E0,1.313999939E2,3.000000000E0,3.000000000E0
2.683197211E2,6.494365591E1,2.539757313E1,-5.144068007E-1,1.319999933E0,1.293000031E2,3.000000000E0,2.000000000E0
2.693297268E2,6.494364250E1,2.539759543E1,-5.144177040E-1,1.269999981E0,1.283999939E2,3.000000000E0,3.000000000E0
2.703315963E2,6.494363122E1,2.539761881E1,-5.144267484E-1,1.350000024E0,1.245999985E2,3.000000000E0,3.000000000E0
2.713343865E2,6.494362175E1,2.539764647E1,4.855658625E-1,1.639999986E0,1.248000031E2,3.000000000E0,3.000000000E0
2.723302358E2,6.494361412E1,2.539767740E1,4.855601382E-1,1.449999928E0,1.271999969E2,3.000000000E0,3.000000000E0
2.733122143E2,6.494360679E1,2.539770230E1,4.855545071E-1,1.259999990E0,1.270999985E2,3.000000000E0,3.000000000E0
2.743215580E2,6.494359958E1,2.539773314E1,4.855491391E-1,9.499999881E-1,1.373999939E2,3.000000000E0,3.000000000E0
2.753243904E2,6.494359065E1,2.539776089E1,4.855422177E-1,1.539999962E0,1.331000061E2,3.000000000E0,2.000000000E0
2.763352095E2,6.494358638E1,2.539779827E1,4.855395334E-1,1.519999981E0,1.229000015E2,3.000000000E0,3.000000000E0
2.772908857E2,6.494358248E1,2.539782383E1,4.855368629E-1,1.789999962E0,1.256999969E2,3.000000000E0,3.000000000E0
2.783202482E2,6.494357251E1,2.539785728E1,-5.144708078E-1,1.449999928E0,1.231999969E2,3.000000000E0,3.000000000E0
2.793461580E2,6.494356685E1,2.539789324E1,-1.514474715E0,1.439999938E0,1.218000031E2,3.000000000E0,3.000000000E0
2.802971546E2,6.494355780E1,2.539791528E1,-1.514481894E0,1.199999928E0,1.373999939E2,3.000000000E0,3.000000000E0
2.813313255E2,6.494354531E1,2.539792987E1,-5.144922133E-1,1.599999905E0,1.608000031E2,2.500000000E0,2.000000000E0
2.822787451E2,6.494352297E1,2.539793364E1,-1.514511253E0,1.779999971E0,1.781000061E2,2.500000000E0,2.000000000E0
2.833047028E2,6.494350344E1,2.539792685E1,-1.514528163E0,1.669999957E0,1.875000000E2,2.500000000E0,2.000000000E0
2.843223762E2,6.494348399E1,2.539792274E1,-1.514544930E0,1.870000005E0,1.918000031E2,2.500000000E0,2.000000000E0
2.852998290E2,6.494346983E1,2.539790514E1,-1.514557526E0,1.829999924E0,1.926999969E2,2.500000000E0,2.000000000E0
2.863146850E2,6.494345214E1,2.539789491E1,-5.145729443E-1,1.500000000E0,1.946999969E2,2.500000000E0,2.000000000E0
2.873039811E2,6.494343722E1,2.539788234E1,-5.145860543E-1,1.730000019E0,1.941999969E2,2.500000000E0,2.000000000E0
2.883392181E2,6.494342100E1,2.539786834E1,-5.146003143E-1,1.579999924E0,1.951000061E2,2.500000000E0,2.000000000E0
2.893253131E2,6.494340600E1,2.539786239E1,-5.146133232E-1,1.500000000E0,1.940000000E2,2.500000000E0,2.000000000E0
2.903381515E2,6.494339142E1,2.539784806E1,4.853738088E-1,1.419999957E0,1.988000031E2,2.500000000E0,2.000000000E0
2.913309243E2,6.494337817E1,2.539784169E1,-5.146377027E-1,1.439999938E0,1.963000031E2,2.500000000E0,2.000000000E0
2.923377578E2,6.494336510E1,2.539783414E1,-5.146491011E-1,1.529999971E0,1.948000031E2,2.500000000E0,2.000000000E0
2.933264706E2,6.494335185E1,2.539782576E1,4.853393353E-1,1.519999981E0,1.915000000E2,2.500000000E0,2.000000000E0
2.943122249E2,6.494333781E1,2.539781822E1,4.853271114E-1,1.509999990E0,1.921999969E2,2.500000000E0,2.000000000E0
2.953248345E2,6.494332264E1,2.539781545E1,4.853140424E-1,1.459999919E0,1.918000031E2,2.500000000E0,2.000000000E0
2.963301543E2,6.494331133E1,2.539780824E1,4.853041612E-1,1.579999924E0,1.930000000E2,2.500000000E0,2.000000000E0
2.973308319E2,6.494329825E1,2.539779735E1,4.852926763E-1,1.480000019E0,1.960000000E2,2.500000000E0,2.000000000E0
2.983206681E2,6.494327943E1,2.539779928E1,4.852766059E-1,2.460000038E0,1.913000031E2,3.000000000E0,2.000000000E0
2.993274897E2,6.494325672E1,2.539778067E1,4.852566635E-1,2.559999943E0,1.985000000E2,3.000000000E0,2.000000000E0
3.003087594E2,6.494323451E1,2.539776759E1,4.852372960E-1,2.329999924E0,2.046999969E2,3.000000000E0,2.000000000E0
3.013263693E2,6.494321355E1,2.539774203E1,4.852186820E-1,2.549999952E0,2.051000061E2,3.000000000E0,2.000000000E0
3.023245647E2,6.494319004E1,2.539771898E1,4.851979439E-1,2.329999924E0,2.066999969E2,3.000000000E0,2.000000000E0
3.033411656E2,6.494317223E1,2.539769878E1,4.851821627E-1,2.029999971E0,2.090000000E2,3.000000000E0,2.000000000E0
3.043296366E2,6.494315412E1,2.539766919E1,1.485165888E0,2.240000010E0,2.101000061E2,3.000000000E0,2.000000000E0
3.052917174E2,6.494313392E1,2.539764228E1,1.485147888E0,2.399999857E0,2.083999939E2,3.000000000E0,2.000000000E0
3.062891007E2,6.494311066E1,2.539762208E1,1.485127441E0,3.109999895E0,2.071000061E2,3.000000000E0,2.000000000E0
3.072747695E2,6.494308183E1,2.539759434E1,4.851020257E-1,3.129999876E0,2.063000031E2,3.000000000E0,2.000000000E0
3.083253833E2,6.494305769E1,2.539755997E1,4.850804607E-1,2.869999886E0,2.058999939E2,3.000000000E0,2.000000000E0
3.093309269E2,6.494303313E1,2.539753424E1,1.485058761E0,2.730000019E0,2.098000031E2,3.000000000E0,2.000000000E0
3.103310210E2,6.494301205E1,2.539750189E1,1.485039870E0,2.609999895E0,2.133999939E2,3.000000000E0,2.000000000E0
3.112986683E2,6.494298762E1,2.539746635E1,1.485018026E0,2.609999895E0,2.141999969E2,3.000000000E0,2.000000000E0
3.123242012E2,6.494296708E1,2.539743961E1,1.484999748E0,2.690000057E0,2.148000031E2,2.500000000E0,2.000000000E0
3.133024182E2,6.494294814E1,2.539741170E1,4.849828050E-1,2.440000057E0,2.113000031E2,2.500000000E0,2.000000000E0
3.143260370E2,6.494293536E1,2.539738026E1,4.849710478E-1,1.629999995E0,2.251000061E2,2.500000000E0,2.000000000E0
3.153138579E2,6.494291499E1,2.539735286E1,4.849528983E-1,2.950000048E0,2.066999969E2,3.000000000E0,3.000000000E0
3.163223284E2,6.494289198E1,2.539732830E1,-5.150674383E-1,2.740000010E0,2.056999969E2,3.000000000E0,2.000000000E0
3.173074599E2,6.494286859E1,2.539730080E1,-5.150881727E-1,2.750000000E0,2.038999939E2,2.500000000E0,2.000000000E0
3.183470329E2,6.494284617E1,2.539728563E1,-5.151077642E-1,2.639999866E0,2.006999969E2,2.500000000E0,2.000000000E0
3.193352017E2,6.494282668E1,2.539726552E1,-5.151249700E-1,2.669999838E0,2.008999939E2,2.500000000E0,2.000000000E0
3.202949802E2,6.494280313E1,2.539724104E1,-5.151457685E-1,2.839999914E0,2.076000061E2,3.000000000E0,2.000000000E0
3.213222584E2,6.494277866E1,2.539722227E1,-5.151672096E-1,2.769999981E0,2.011000061E2,2.500000000E0,2.000000000E0
3.223079151E2,6.494275171E1,2.539720047E1,-5.151908449E-1,2.789999962E0,2.008999939E2,2.500000000E0,2.000000000E0
3.233197128E2,6.494273163E1,2.539718010E1,-5.152085575E-1,2.389999866E0,2.025000000E2,2.500000000E0,2.000000000E0
3.243274873E2,6.494271168E1,2.539716569E1,-1.515226009E0,2.509999990E0,2.023000031E2,2.500000000E0,2.000000000E0
3.253280928E2,6.494268880E1,2.539715488E1,-1.515245881E0,2.169999838E0,1.953000031E2,2.500000000E0,2.000000000E0
3.263296897E2,6.494267212E1,2.539714658E1,-1.515260376E0,1.370000005E0,1.943999939E2,3.000000000E0,2.000000000E0
3.273033463E2,6.494265201E1,2.539713987E1,-1.515277773E0,1.000000000E0,2.033000031E2,2.500000000E0,2.000000000E0
